"Group","Text","From","FirstSeenFile","Voice","RawFile","FilteredFile"
"Traffic","Is this really necessary?","$npc_name_decorate:#name=Bascule;","Journal.2026-06-13T201903.01.log","john.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_john_fd3e807959f10c90.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_john_fd3e807959f10c90.wav"
"Traffic","Is this really necessary?","$npc_name_decorate:#name=Bascule;","Journal.2026-06-13T201903.01.log","kristin.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kristin_4834f5cc3673c825.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kristin_4834f5cc3673c825.wav"
"Traffic","Is this really necessary?","$npc_name_decorate:#name=Bascule;","Journal.2026-06-13T201903.01.log","kusal.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kusal_0e87dd4f744bf40c.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kusal_0e87dd4f744bf40c.wav"
"Traffic","Is this really necessary?","$npc_name_decorate:#name=Bascule;","Journal.2026-06-13T201903.01.log","lessac.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_lessac_939ed9649cfdf4da.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_lessac_939ed9649cfdf4da.wav"
"Traffic","Is this really necessary?","$npc_name_decorate:#name=Bascule;","Journal.2026-06-13T201903.01.log","michelle.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_michelle_51deb679333cb450.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_michelle_51deb679333cb450.wav"
"Traffic","Is this really necessary?","$npc_name_decorate:#name=Bascule;","Journal.2026-06-13T201903.01.log","norman.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_norman_32e7d5b56058134a.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_norman_32e7d5b56058134a.wav"
"Traffic","Is this really necessary?","$npc_name_decorate:#name=Bascule;","Journal.2026-06-13T201903.01.log","ryan.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_ryan_c02c5837249b80b8.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_ryan_c02c5837249b80b8.wav"
"Traffic","Is this really necessary?","$npc_name_decorate:#name=Bascule;","Journal.2026-06-13T201903.01.log","semaine.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_semaine_9cb0e5eb9e53c253.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_semaine_9cb0e5eb9e53c253.wav"
"Traffic","Location running dry, heading home.","$npc_name_decorate:#name=Kari Koskinen;","Journal.2026-06-13T211126.01.log","john.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_john_99f34a5ee3b19acb.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_john_99f34a5ee3b19acb.wav"
"Traffic","Location running dry, heading home.","$npc_name_decorate:#name=Kari Koskinen;","Journal.2026-06-13T211126.01.log","kristin.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kristin_69f06d1f99a13254.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kristin_69f06d1f99a13254.wav"
"Traffic","Location running dry, heading home.","$npc_name_decorate:#name=Kari Koskinen;","Journal.2026-06-13T211126.01.log","kusal.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kusal_ac9791cfbea7fea6.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kusal_ac9791cfbea7fea6.wav"
"Traffic","Location running dry, heading home.","$npc_name_decorate:#name=Kari Koskinen;","Journal.2026-06-13T211126.01.log","lessac.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_lessac_6ee3b8e18c9a95af.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_lessac_6ee3b8e18c9a95af.wav"
"Traffic","Location running dry, heading home.","$npc_name_decorate:#name=Kari Koskinen;","Journal.2026-06-13T211126.01.log","michelle.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_michelle_ccfff80303b03f3e.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_michelle_ccfff80303b03f3e.wav"
"Traffic","Location running dry, heading home.","$npc_name_decorate:#name=Kari Koskinen;","Journal.2026-06-13T211126.01.log","norman.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_norman_4684ce5277d09bb5.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_norman_4684ce5277d09bb5.wav"
"Traffic","Location running dry, heading home.","$npc_name_decorate:#name=Kari Koskinen;","Journal.2026-06-13T211126.01.log","ryan.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_ryan_a48855a14dce808f.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_ryan_a48855a14dce808f.wav"
"Traffic","Location running dry, heading home.","$npc_name_decorate:#name=Kari Koskinen;","Journal.2026-06-13T211126.01.log","semaine.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_semaine_7eba83d7fab3b92a.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_semaine_7eba83d7fab3b92a.wav"
"Traffic","The rumour was right... good job I found you first.","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","john.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_john_735acecc26d04a3a.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_john_735acecc26d04a3a.wav"
"Traffic","The rumour was right... good job I found you first.","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","kristin.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kristin_a06fdc5d3934fcdd.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kristin_a06fdc5d3934fcdd.wav"
"Traffic","The rumour was right... good job I found you first.","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","kusal.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kusal_d2742b5a4462e584.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kusal_d2742b5a4462e584.wav"
"Traffic","The rumour was right... good job I found you first.","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","lessac.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_lessac_c98c14a00c51ea2e.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_lessac_c98c14a00c51ea2e.wav"
"Traffic","The rumour was right... good job I found you first.","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","michelle.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_michelle_131597bdc209ea0d.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_michelle_131597bdc209ea0d.wav"
"Traffic","The rumour was right... good job I found you first.","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","norman.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_norman_53655239e628578f.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_norman_53655239e628578f.wav"
"Traffic","The rumour was right... good job I found you first.","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","ryan.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_ryan_3010a55ba36174ae.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_ryan_3010a55ba36174ae.wav"
"Traffic","The rumour was right... good job I found you first.","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","semaine.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_semaine_94399d2366c2da04.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_semaine_94399d2366c2da04.wav"
"Traffic","Scanners are for the weak! Time to die!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","john.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_john_2164deafe803ec7f.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_john_2164deafe803ec7f.wav"
"Traffic","Scanners are for the weak! Time to die!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","kristin.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kristin_f34d6cace440cf6a.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kristin_f34d6cace440cf6a.wav"
"Traffic","Scanners are for the weak! Time to die!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","kusal.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kusal_95ff6a8dd56cbe5e.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kusal_95ff6a8dd56cbe5e.wav"
"Traffic","Scanners are for the weak! Time to die!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","lessac.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_lessac_15107a49730c0a4c.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_lessac_15107a49730c0a4c.wav"
"Traffic","Scanners are for the weak! Time to die!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","michelle.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_michelle_b2a598167b92d3db.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_michelle_b2a598167b92d3db.wav"
"Traffic","Scanners are for the weak! Time to die!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","norman.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_norman_a8f05c1845649c58.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_norman_a8f05c1845649c58.wav"
"Traffic","Scanners are for the weak! Time to die!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","ryan.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_ryan_8ef4fedba33de9dc.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_ryan_8ef4fedba33de9dc.wav"
"Traffic","Scanners are for the weak! Time to die!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","semaine.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_semaine_5e7986647954d6b5.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_semaine_5e7986647954d6b5.wav"
"Station","An ally like you is always welcome here.","Orbital Construction Site: The Kennel","Journal.2026-06-13T211126.01.log","alan.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Station_alan_e739560f3b25a59b.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Station_alan_e739560f3b25a59b.wav"
"Station","An ally like you is always welcome here.","Orbital Construction Site: The Kennel","Journal.2026-06-13T211126.01.log","alba.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Station_alba_ca1d0b0b03204369.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Station_alba_ca1d0b0b03204369.wav"
"Station","An ally like you is always welcome here.","Orbital Construction Site: The Kennel","Journal.2026-06-13T211126.01.log","amy.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Station_amy_ec26a30f7b9f007e.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Station_amy_ec26a30f7b9f007e.wav"
"Station","An ally like you is always welcome here.","Orbital Construction Site: The Kennel","Journal.2026-06-13T211126.01.log","aru.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Station_aru_3c011557b57f695a.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Station_aru_3c011557b57f695a.wav"
"Station","An ally like you is always welcome here.","Orbital Construction Site: The Kennel","Journal.2026-06-13T211126.01.log","barbera.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Station_barbera_5bde1340aae724a8.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Station_barbera_5bde1340aae724a8.wav"
"Station","An ally like you is always welcome here.","Orbital Construction Site: The Kennel","Journal.2026-06-13T211126.01.log","bill.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Station_bill_8cf591561a37efca.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Station_bill_8cf591561a37efca.wav"
"Station","An ally like you is always welcome here.","Orbital Construction Site: The Kennel","Journal.2026-06-13T211126.01.log","bob.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Station_bob_7661b004b03d1dd1.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Station_bob_7661b004b03d1dd1.wav"
"Station","An ally like you is always welcome here.","Orbital Construction Site: The Kennel","Journal.2026-06-13T211126.01.log","bryce.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Station_bryce_0ff3626da862d2d1.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Station_bryce_0ff3626da862d2d1.wav"
"Traffic","You've scratched my paint!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","john.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_john_d611d754770d33ad.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_john_d611d754770d33ad.wav"
"Traffic","You've scratched my paint!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","kristin.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kristin_569452b5eccccb54.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kristin_569452b5eccccb54.wav"
"Traffic","You've scratched my paint!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","kusal.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kusal_ab611738bfdfd4cd.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kusal_ab611738bfdfd4cd.wav"
"Traffic","You've scratched my paint!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","lessac.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_lessac_7b89945e611483e6.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_lessac_7b89945e611483e6.wav"
"Traffic","You've scratched my paint!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","michelle.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_michelle_38a12c19c4cbcd3e.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_michelle_38a12c19c4cbcd3e.wav"
"Traffic","You've scratched my paint!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","norman.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_norman_574e7e4529dd540c.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_norman_574e7e4529dd540c.wav"
"Traffic","You've scratched my paint!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","ryan.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_ryan_14dfcbb072dfa1c6.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_ryan_14dfcbb072dfa1c6.wav"
"Traffic","You've scratched my paint!","$npc_name_decorate:#name=Rowland Jones;","Journal.2026-06-13T211126.01.log","semaine.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_semaine_775beff84aa006e5.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_semaine_775beff84aa006e5.wav"
"Traffic","This data is amazing! I can't wait to study it when we get back.","$npc_name_decorate:#name=Volker Hohenadl;","Journal.2026-06-13T201903.01.log","john.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_john_a7f0755df644c7a6.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_john_a7f0755df644c7a6.wav"
"Traffic","This data is amazing! I can't wait to study it when we get back.","$npc_name_decorate:#name=Volker Hohenadl;","Journal.2026-06-13T201903.01.log","kristin.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kristin_c1294161bfb5aa50.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kristin_c1294161bfb5aa50.wav"
"Traffic","This data is amazing! I can't wait to study it when we get back.","$npc_name_decorate:#name=Volker Hohenadl;","Journal.2026-06-13T201903.01.log","kusal.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kusal_5fd60d30a2fd226a.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kusal_5fd60d30a2fd226a.wav"
"Traffic","This data is amazing! I can't wait to study it when we get back.","$npc_name_decorate:#name=Volker Hohenadl;","Journal.2026-06-13T201903.01.log","lessac.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_lessac_afad730801106e2e.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_lessac_afad730801106e2e.wav"
"Traffic","This data is amazing! I can't wait to study it when we get back.","$npc_name_decorate:#name=Volker Hohenadl;","Journal.2026-06-13T201903.01.log","michelle.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_michelle_5a36c390c235b15c.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_michelle_5a36c390c235b15c.wav"
"Traffic","This data is amazing! I can't wait to study it when we get back.","$npc_name_decorate:#name=Volker Hohenadl;","Journal.2026-06-13T201903.01.log","norman.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_norman_06cb7fc0c5c6f292.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_norman_06cb7fc0c5c6f292.wav"
"Traffic","This data is amazing! I can't wait to study it when we get back.","$npc_name_decorate:#name=Volker Hohenadl;","Journal.2026-06-13T201903.01.log","ryan.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_ryan_01ddafc6245c57d0.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_ryan_01ddafc6245c57d0.wav"
"Traffic","This data is amazing! I can't wait to study it when we get back.","$npc_name_decorate:#name=Volker Hohenadl;","Journal.2026-06-13T201903.01.log","semaine.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_semaine_b63a8c1c68666998.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_semaine_b63a8c1c68666998.wav"
"Traffic","Die!","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","john.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_john_ee6e25b4c6527997.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_john_ee6e25b4c6527997.wav"
"Traffic","Die!","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","kristin.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kristin_b23b1122d90a8765.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kristin_b23b1122d90a8765.wav"
"Traffic","Die!","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","kusal.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kusal_d7007f3903057f79.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kusal_d7007f3903057f79.wav"
"Traffic","Die!","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","lessac.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_lessac_74cf7024cb65a96e.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_lessac_74cf7024cb65a96e.wav"
"Traffic","Die!","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","michelle.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_michelle_701dfe4d048f4daf.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_michelle_701dfe4d048f4daf.wav"
"Traffic","Die!","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","norman.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_norman_7463b7b7cbf6f12f.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_norman_7463b7b7cbf6f12f.wav"
"Traffic","Die!","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","ryan.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_ryan_04554f32c4978257.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_ryan_04554f32c4978257.wav"
"Traffic","Die!","$npc_name_decorate:#name=M. Boesen;","Journal.2026-06-13T211126.01.log","semaine.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_semaine_9c01f84cbefe7bf8.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_semaine_9c01f84cbefe7bf8.wav"
"Traffic","Can we hurry this up please, officer?","$npc_name_decorate:#name=Martin Wittek;","Journal.2026-06-13T211126.01.log","john.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_john_10ff189fc75f2249.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_john_10ff189fc75f2249.wav"
"Traffic","Can we hurry this up please, officer?","$npc_name_decorate:#name=Martin Wittek;","Journal.2026-06-13T211126.01.log","kristin.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kristin_3c63ccd5e2363423.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kristin_3c63ccd5e2363423.wav"
"Traffic","Can we hurry this up please, officer?","$npc_name_decorate:#name=Martin Wittek;","Journal.2026-06-13T211126.01.log","kusal.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kusal_8bcf200a8f658bc4.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kusal_8bcf200a8f658bc4.wav"
"Traffic","Can we hurry this up please, officer?","$npc_name_decorate:#name=Martin Wittek;","Journal.2026-06-13T211126.01.log","lessac.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_lessac_e6ec2fa159ee6ea5.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_lessac_e6ec2fa159ee6ea5.wav"
"Traffic","Can we hurry this up please, officer?","$npc_name_decorate:#name=Martin Wittek;","Journal.2026-06-13T211126.01.log","michelle.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_michelle_e3504a542ed90972.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_michelle_e3504a542ed90972.wav"
"Traffic","Can we hurry this up please, officer?","$npc_name_decorate:#name=Martin Wittek;","Journal.2026-06-13T211126.01.log","norman.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_norman_75d453f480ef582f.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_norman_75d453f480ef582f.wav"
"Traffic","Can we hurry this up please, officer?","$npc_name_decorate:#name=Martin Wittek;","Journal.2026-06-13T211126.01.log","ryan.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_ryan_a58e23b679b8a7da.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_ryan_a58e23b679b8a7da.wav"
"Traffic","Can we hurry this up please, officer?","$npc_name_decorate:#name=Martin Wittek;","Journal.2026-06-13T211126.01.log","semaine.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_semaine_1d8cd30b894df6f2.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_semaine_1d8cd30b894df6f2.wav"
"Traffic","What's going on here, officer?","$npc_name_decorate:#name=Ziggy;","Journal.2026-06-13T201903.01.log","john.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_john_541817f1f2034aec.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_john_541817f1f2034aec.wav"
"Traffic","What's going on here, officer?","$npc_name_decorate:#name=Ziggy;","Journal.2026-06-13T201903.01.log","kristin.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kristin_b30c615aa5e12dbc.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kristin_b30c615aa5e12dbc.wav"
"Traffic","What's going on here, officer?","$npc_name_decorate:#name=Ziggy;","Journal.2026-06-13T201903.01.log","kusal.onnx","C:\Thrustmaster\Common\Piper\ATCChatter\ATC_Traffic_kusal_459b001d96304ce2.wav","C:\Thrustmaster\Common\Piper\ATCChatter_Filtered\ATC_Traffic_kusal_459b001d96304ce2.wav"
